"","x"
"V1",0.274347260646063
"V2",-0.0177434918458972
"V3",-0.108925032737064
"V4",-0.607783818968688
"V5",-0.510191378479501
"V6",-0.61306429934125
"V7",-0.633592610907429
"V8",-0.525696539001884
"V9",-0.61498890978365
"V10",-0.466732370523269
"V11",-0.305180462546411
"V12",-0.562229619850407
"V13",0.525304172511095
"V14",0.389536587321513
"V15",0.598021923353949
"V16",-0.552087115648893
"V17",-0.825459670396252
"V18",-0.902704282327838
"V19",-0.854661759222973
"V20",-0.689161821371472
"V21",-0.643511768623583
"V22",-0.640685815482928
"V23",-0.100331848808134
"V24",-0.128765122937701
"V25",-0.157863394141636
"V26",-0.118954333677729
"V27",0.108573706261895
"V28",-0.0356994169213299
"V29",0.122000192842546
"V30",-0.029676503537188
"V31",0.0317237742172389
"V32",0.155147508424199
"V33",-0.0180767920878722
"V34",0.00611033964754394
"V35",0.0377291540841395
"V36",0.034423733821314
"V37",-0.0826692044542652
"V38",-0.120308569497857
"V39",-0.19774621582879
"V40",0.102198864072034
"V41",0.669226222373046
"V42",0.00403879092060517
"V43",0.0921508600211059
"V44",-0.965207115039421
"V45",-0.95440802665318
"V46",-0.938900969424022
"V47",-0.966017547593359
"V48",-0.955361184463938
"V49",-0.940206277312749
"V50",0.609058202575891
"V51",-0.0103216842233446
"V52",0.0967393305199664
"V53",0.683762046463103
"V54",0.0166078634418512
"V55",0.0793492718974707
"V56",-0.0985870819600584
"V57",0.446206727733547
"V58",-0.721469908539694
"V59",-0.763609232749742
"V60",-0.968239871201476
"V61",-0.958592816013108
"V62",-0.944775940840858
"V63",-0.674768951348029
"V64",-0.866704392505228
"V65",-0.669100243301527
"V66",-0.504401651936594
"V67",0.542886549905516
"V68",-0.580674458607939
"V69",0.617818193775729
"V70",-0.343618301448707
"V71",0.330183502639498
"V72",-0.360744984572308
"V73",0.408875435293201
"V74",-0.428082912307475
"V75",0.453367251514286
"V76",-0.478049652346497
"V77",0.499489809797114
"V78",0.17568274446598
"V79",-0.108287775463795
"V80",0.0848488415988038
"V81",0.0789381220355816
"V82",0.0079481069090025
"V83",-0.00467469823628666
"V84",-0.63978102073413
"V85",-0.607971599340832
"V86",-0.762820240449202
"V87",-0.636851832334041
"V88",-0.594046436674004
"V89",-0.756511705504896
"V90",-0.699625727365398
"V91",-0.747833595469583
"V92",-0.818722317836936
"V93",0.616034393890846
"V94",0.684870159457075
"V95",0.739588241708783
"V96",-0.64699127583794
"V97",-0.850337515970628
"V98",-0.827254361855015
"V99",-0.930710203190173
"V100",-0.627489707225369
"V101",-0.659832855678513
"V102",-0.770833756877427
"V103",-0.0826069359182658
"V104",-0.0878825241379454
"V105",-0.127330544548232
"V106",-0.108572863267843
"V107",0.169659030981525
"V108",0.0676044397361048
"V109",0.126467828047418
"V110",-0.0727178062014458
"V111",0.0686944741749914
"V112",0.174527859893127
"V113",0.3143158162243
"V114",-0.0326917241350285
"V115",0.0886842849822925
"V116",-0.00103868688344055
"V117",0.138471148717396
"V118",-0.138122992805529
"V119",0.00302530439893155
"V120",0.0803171281290155
"V121",-0.0309824871713436
"V122",-0.0747194855994359
"V123",0.088357304227173
"V124",-0.721192598029789
"V125",-0.682653506899942
"V126",-0.653665674372188
"V127",-0.726484836848539
"V128",-0.694534110096304
"V129",-0.667209748107764
"V130",-0.64548527449658
"V131",-0.737977312189729
"V132",-0.484188693115124
"V133",0.632263659095572
"V134",0.734258066662152
"V135",0.559247778213168
"V136",-0.602748673125558
"V137",-0.901636957062326
"V138",-0.884235450188455
"V139",-0.872984368242422
"V140",-0.729225040963895
"V141",-0.717202660698654
"V142",-0.720239479300788
"V143",-0.144916600805163
"V144",-0.0992485937860931
"V145",-0.0632542895391766
"V146",-0.222861867348975
"V147",0.147739198267393
"V148",0.128497150520195
"V149",-0.0803058186736978
"V150",-0.204786157644309
"V151",0.169678404244605
"V152",-0.0424613426990677
"V153",0.141698297542868
"V154",-0.085098503172116
"V155",0.0667301860927464
"V156",-0.00792375249314584
"V157",0.146419131220679
"V158",-0.169335663346868
"V159",0.0143461720708445
"V160",-0.105693035967995
"V161",-0.0967092754729682
"V162",-0.0423181079782632
"V163",-0.0548303497968374
"V164",-0.731348533131935
"V165",-0.786062320321895
"V166",-0.739932395222129
"V167",-0.730002664153494
"V168",-0.796578518731355
"V169",-0.746637006996126
"V170",-0.747265427689844
"V171",-0.809908325963061
"V172",-0.742689151304914
"V173",0.760591617745632
"V174",0.83027549261874
"V175",0.799424779207836
"V176",-0.766813796605217
"V177",-0.916934348894223
"V178",-0.939545115888378
"V179",-0.919501877565938
"V180",-0.737540121153577
"V181",-0.808763717176308
"V182",-0.766349715087751
"V183",-0.015190658579531
"V184",0.0186689432880076
"V185",-0.0151123062176901
"V186",-0.072476393634415
"V187",0.0409185929438137
"V188",0.159666872922338
"V189",0.164731000845581
"V190",-0.162364494080083
"V191",0.200174940317975
"V192",0.0835283576270254
"V193",0.0802492405843008
"V194",-0.0286536933575332
"V195",0.052383068816264
"V196",0.0888026271256925
"V197",0.0335305237509215
"V198",0.036939291384175
"V199",0.0492723572603522
"V200",-0.113625269936235
"V201",-0.54822165976717
"V202",-0.591225327146546
"V203",-0.642655227166232
"V204",-0.558632605228031
"V205",-0.837828098220041
"V206",-0.54822165976717
"V207",-0.777465766425847
"V208",-0.702589578546208
"V209",0.132813314452206
"V210",-0.0695394969837687
"V211",0.0240420207662277
"V212",0.05858262032553
"V213",-0.0578901254381161
"V214",-0.54822165976717
