"","x"
"V1",0.0676277962784943
"V2",0.0371281663827435
"V3",0.0530330859935597
"V4",0.438693831339194
"V5",0.500239766883052
"V6",0.403656584651858
"V7",0.413333018338302
"V8",0.484200647735623
"V9",0.399034058245509
"V10",0.538706787937137
"V11",0.279920275645106
"V12",0.282990528345684
"V13",0.35658895383491
"V14",0.338844070101853
"V15",0.290614654527968
"V16",0.461374610489333
"V17",0.247051818372546
"V18",0.125987849568003
"V19",0.205997502274485
"V20",0.359208955275679
"V21",0.368864626867882
"V22",0.372065441972237
"V23",0.462315492015796
"V24",0.433687257153052
"V25",0.368101697846064
"V26",0.30772148256937
"V27",0.247139818354679
"V28",0.24782017417328
"V29",0.232044067142965
"V30",0.254461172108767
"V31",0.213707644491184
"V32",0.208718482461815
"V33",0.22025683499872
"V34",0.281721843867417
"V35",0.215456028850331
"V36",0.236854255066669
"V37",0.230957461626828
"V38",0.357676934489248
"V39",0.325103253809755
"V40",0.376048745505092
"V41",0.515485780308741
"V42",0.378909215421356
"V43",0.334270168704641
"V44",0.0777147960480108
"V45",0.0852866205384834
"V46",0.101554847657515
"V47",0.0761984074973394
"V48",0.0842337759905093
"V49",0.100521377576158
"V50",0.509003275335256
"V51",0.366683488644674
"V52",0.329611069144372
"V53",0.507051553876899
"V54",0.376404366728383
"V55",0.336731410192899
"V56",0.39194457685093
"V57",0.696454611374246
"V58",0.454408668282572
"V59",0.424081696116968
"V60",0.0717859944176486
"V61",0.0806892568819021
"V62",0.0960495894031246
"V63",0.361048291089865
"V64",0.281431008934707
"V65",0.393154812472846
"V66",0.216469557472953
"V67",0.20979116415504
"V68",0.207895539861647
"V69",0.210734591739111
"V70",0.293287453345593
"V71",0.299026168408569
"V72",0.291191538146509
"V73",0.282566749250549
"V74",0.268260437215381
"V75",0.259414267706556
"V76",0.25337848973178
"V77",0.249913454913049
"V78",0.696326676277864
"V79",0.703940669950718
"V80",0.701159247972398
"V81",0.176112457141583
"V82",0.164518387624882
"V83",0.155978985687957
"V84",0.408711816447501
"V85",0.43288446111401
"V86",0.277901388841564
"V87",0.413603899753198
"V88",0.446134739812249
"V89",0.283632230305184
"V90",0.359868403041266
"V91",0.293669344905603
"V92",0.223993152704084
"V93",0.435520561878772
"V94",0.359038828916912
"V95",0.306461594197294
"V96",0.39270939928907
"V97",0.214780937496912
"V98",0.243041127800684
"V99",0.117932196316046
"V100",0.429626690012962
"V101",0.375057069629955
"V102",0.266293778738553
"V103",0.652665466225972
"V104",0.632120056752987
"V105",0.607460459802421
"V106",0.303579770359896
"V107",0.192419625461438
"V108",0.24145294045136
"V109",0.195963055005121
"V110",0.268178318108628
"V111",0.217858174917094
"V112",0.237786650731578
"V113",0.20253905841849
"V114",0.27177459517809
"V115",0.196581769342212
"V116",0.224184075440338
"V117",0.239589441773602
"V118",0.257668984379244
"V119",0.293081146512313
"V120",0.277203281793459
"V121",0.183186086288647
"V122",0.134317132299449
"V123",0.134875256324883
"V124",0.301027072676107
"V125",0.356884535690522
"V126",0.372606080407907
"V127",0.297645033607044
"V128",0.344406999597297
"V129",0.361793462833175
